dates,league,name,link
Oct 28 - Oct 30 2015,NA,Electronic Sports World Cup 2015,http://lol.esportspedia.com/wiki/Electronic_Sports_World_Cup_2015
Aug 14 - Oct 4 2015,ESL Pro Series,EMP Summer 2015,http://lol.esportspedia.com/wiki/ESL_Mistrzostwa_Polski/Summer_2015
Sep 14 - Sep 29 2015,Tencent Games Arena,2015 LGQ Invitational S2,http://lol.esportspedia.com/wiki/2015_LongZhu_Gaming_Queen_Invitational/Season_2
Sep 11 - Sep 20 2015,NA,Argentina Game Show 2015,http://lol.esportspedia.com/wiki/Argentina_Game_Show_2015
Jul 18 - Sep 20 2015,LoL Battle Arena,LoL Battle Arena Season One,http://lol.esportspedia.com/wiki/LoL_Battle_Arena_Season_One
Sep 18 - Sep 20 2015,Oceanic Pro League,OPL Split 1 2016 Promotion,http://lol.esportspedia.com/wiki/OPL/2016_Season/Split_1_Promotion
Jun 7 - Sep 19 2015,NA,Rio de la Plata Cup 2015,http://lol.esportspedia.com/wiki/Rio_de_la_Plata_Cup_2015
Sep 11 - Sep 12 2015,LoL The Champions,LCK Spring 2016 Promotion,http://lol.esportspedia.com/wiki/LCK/2016_Season/Spring_Promotion
Sep 7 - Sep 9 2015,World Leisure Games,WLG - Qingdao 2015,http://lol.esportspedia.com/wiki/World_Leisure_Games_-_Qingdao_2015
Sep 6 - Sep 7 2015,NA,BRMA Sao Paulo 2015,http://lol.esportspedia.com/wiki/Brasil_Mega_Arena/Sao_Paulo_2015
Sep 6 2015,League of Legends Championship Series,2016 NA LCS Spring Promotion,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2016_Season/Spring_Promotion
Aug 26 - Sep 5 2015,Riot Games Inc.,2015 International Wildcard,http://lol.esportspedia.com/wiki/2015_International_Wildcard_Tournament
Sep 5 2015,League of Legends Championship Series,2016 EU LCS Spring Promotion,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2016_Season/Spring_Promotion
Sep 2 - Sep 5 2015,Riot Games Inc.,2015 Korea Regional Finals,http://lol.esportspedia.com/wiki/2015_Season_Korea_Regional_Finals
Sep 4 - Sep 5 2015,Riot Games Inc.,2015 China Regional Finals,http://lol.esportspedia.com/wiki/2015_Season_China_Regional_Finals
