dates,league,name,link
Mar 23 - Apr 1 2015,Copa Latin America,LAC OC 2015 LAS Finals,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Opening_Cup/Playoffs
Feb 5 - Mar 30 2015,Oceanic Pro League,2015 OPL Split 1,http://lol.esportspedia.com/wiki/OPL/2015_Season/Split_1
Jan 24 - Mar 29 2015,League of Legends Championship Series,2015 NA LCS Spring,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Spring_Season
Jan 19 - Mar 29 2015,Demacia Cup,2015 Demacia Cup Spring,http://lol.esportspedia.com/wiki/2015_Demacia_Cup/Spring_Season
Jan 24 - Mar 29 2015,League of Legends Japan League,2015 LJ League Season 1,http://lol.esportspedia.com/wiki/2015_League_of_Legends_Japan_League/Season_1
Jan 12 - Mar 28 2015,Garena,2015 TPL Spring,http://lol.esportspedia.com/wiki/2015_Thailand_Pro_League/Spring
Jan 22 - Mar 27 2015,League of Legends Championship Series,2015 EU LCS Spring,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Spring_Season
Dec 2 - Postpone 2015,North American Challenger League,NACL Winter,http://lol.esportspedia.com/wiki/NACL/New_Year%E2%80%99s_Kick-off_Tournament
Feb 17 - Mar 25 2015,NA Challenger Series,2015 NA CS Spring Season,http://lol.esportspedia.com/wiki/2015_NA_Challenger_Series/Spring_Season
Feb 17 - Mar 25 2015,EU Challenger Series,2015 EU CS Spring Season,http://lol.esportspedia.com/wiki/2015_EU_Challenger_Series/Spring_Season
Mar 17 - Mar 25 2015,LoL Secondary Pro League,2015 LSPL Summer Relegation‎,http://lol.esportspedia.com/wiki/2015_LoL_Secondary_Pro_League/Summer/Relegation
Jan 8 - Mar 22 2015,LMS,2015 LMS Spring,http://lol.esportspedia.com/wiki/LMS/2015_Season/Spring_Season
Mar 14 - Mar 21 2015,Hong Kong E-Sports Challenge,HKESC Summer Week 2,http://lol.esportspedia.com/wiki/Hong_Kong_E-Sports_Challenge_Summer_Season/Week_2
Feb 10 - Mar 19 2015,Copa Latin America,LAC OC 2015 LAN,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Opening_Cup/Regular_Season
Feb 09 - Mar 18 2015,Copa Latin America,LAC OC 2015 LAS,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Opening_Cup/Regular_Season
Feb 10 - Mar 18 2015,Liga de Videojuegos Profesional,LVP Season 8 Sprint 1,http://lol.esportspedia.com/wiki/Liga_de_Videojuegos_Profesional/Season_8
Mar 13 - Mar 15 2015,Intel Extreme Masters,IEM World Championship,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_World_Championship
Jan 20 - Mar 12 2015,LoL Secondary Pro League,2015 LSPL Spring Season,http://lol.esportspedia.com/wiki/2015_LoL_Secondary_Pro_League/Spring
Jan 24 - Mar 8 2015,Turkish Champions League,2015 TCL Winter Playoffs,http://lol.esportspedia.com/wiki/2015_Turkish_Champions_League/Winter_Playoffs
Feb 5 - Mar 8 2015,KeSPA,Solo King Korean 1v1,http://lol.esportspedia.com/wiki/The_Solo_King_Korean_1v1_Tournament
Nov 29 - Mar 8 2015,Pro Gaming Series,2015 PGS Spring,http://lol.esportspedia.com/wiki/2015_PGS_Spring
Jan 24 - Mar 8 2015,Garena,Legends Cyber Arena,http://lol.esportspedia.com/wiki/Legends_Cyber_Arena
Feb 28 - Mar 7 2015,Hong Kong E-Sports Challenge,HKESC Summer Week 1,http://lol.esportspedia.com/wiki/Hong_Kong_E-Sports_Challenge_Summer_Season/Week_1
Jan 17 - Mar 1 2015,Circuit Brazilian League of Legends,2015 CBLOL Summer Season,http://lol.esportspedia.com/wiki/CBLOL/2015_Season/Summer_Season
Nov 29 - Mar 1 2015,Garena,LoL Garuda Series S2,http://lol.esportspedia.com/wiki/LoL_Garuda_Series/Season_2
Feb 8 - Feb 22 2015,JCG Premier League,2014 JCG Premier League Finals,http://lol.esportspedia.com/wiki/2014_JCG_Premier_League/Finals
Jan 6 - Feb 12 2015,Challengers Korea,Challengers Korea Spring #1,http://lol.esportspedia.com/wiki/Challengers_Korea_Spring_2015/Series_1
Jan 20 - Feb 4 2015,NA Challenger Series,2015 NA CS Spring Qual.,http://lol.esportspedia.com/wiki/2015_NA_Challenger_Series/Spring_Qualifier
Jan 20 - Feb 4 2015,EU Challenger Series,2015 EU CS Spring Qual.,http://lol.esportspedia.com/wiki/2015_EU_Challenger_Series/Spring_Qualifier
Jan 22 - Jan 31 2015,Copa Latin America,LAC OC Cup 2015 LAN Promotion,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Opening_Cup/Promotion
Jan 22 - Jan 31 2015,Copa Latin America,LAC OC Cup 2015 LAS Promotion,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Opening_Cup/Promotion
Jan 28 - Jan 30 2015,Intel Extreme Masters,IEM Season IX Taipei,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_Taipei
Nov 27 - Jan 25 2015,SLTV StarSeries,SLTV StarSeries Season IV,http://lol.esportspedia.com/wiki/SLTV_StarSeries/Season_IV
Jan 10 - Jan 24 2015,Riot Games Inc.,2015 OCS Autumn Qualifiers,http://lol.esportspedia.com/wiki/OPL/2015_Season/Autumn_Qualifiers
Jan 18 2015,Copa Latin America,LAC OC 2015 LAN Q4,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Opening_Cup/Promotion/Qualifier_4
Jan 18 2015,Copa Latin America,LAC OC 2015 LAS Q4,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Opening_Cup/Promotion/Qualifier_4
Jan 6 - Jan 18 2015,Riot Games Inc.,Int. Invitational Tournament 4,http://lol.esportspedia.com/wiki/International_Invitational_Tournament_4
Jan 8 - Jan 17 2015,Hong Kong E-Sports Challenge,HKESC Winter Playoffs,http://lol.esportspedia.com/wiki/Hong_Kong_E-Sports_Challenge_Winter_Season/Playoffs
Jan 17 2015,Copa Latin America,LAC OC 2015 LAN Q3,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Opening_Cup/Promotion/Qualifier_3
Jan 17 2015,Copa Latin America,LAC OC 2015 LAS Q3,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Opening_Cup/Promotion/Qualifier_3
Jan 10 - Jan 11 2015,Esportspedia,Best Zed NA Tournament,http://lol.esportspedia.com/wiki/Best_Zed_NA_Tournament
Jan 11 2015,Copa Latin America,LAC OC 2015 LAN Q2,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Opening_Cup/Promotion/Qualifier_2
Jan 11 2015,Copa Latin America,LAC OC 2015 LAS Q2,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Opening_Cup/Promotion/Qualifier_2
Jan 8 - Jan 11 2015,Intel Extreme Masters,IEM Taipei - SEA Qualifier,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_Taipei/Qualifiers/Southeast_Asia
Jan 8 - Jan 11 2015,ESL Pro Series,EPS America Season XI,http://lol.esportspedia.com/wiki/ESL_Pro_Series_America/Season_XI
Jan 10 2015,Copa Latin America,LAC OC 2015 LAN Q1,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAN/Opening_Cup/Promotion/Qualifier_1
Jan 10 2015,Copa Latin America,LAC OC 2015 LAS Q1,http://lol.esportspedia.com/wiki/Latin_America_Cup_2015/LAS/Opening_Cup/Promotion/Qualifier_1
Oct 16 - Jan 9 2015,NA,Copa Coliseo,http://lol.esportspedia.com/wiki/Copa_Coliseo
Dec 2 - Jan 8 2015,NA,LoL Pro League Season II,http://lol.esportspedia.com/wiki/LoL_Pro_League/Season_II
Dec 4 - Jan 5 2015,NA,OMEN Encounter,http://lol.esportspedia.com/wiki/OMEN_Encounter
Oct 23 - Jan 4 2015,CGA Major League,2014 CGA Major League,http://lol.esportspedia.com/wiki/2014_CGA_Major_League
Dec 18 - Dec 28 2014,LMS,2015 LMS Spring Qualifiers,http://lol.esportspedia.com/wiki/LMS/2015_Season/Spring_Qualifiers
Nov 6 - Dec 28 2014,G-League,G-League 2014,http://lol.esportspedia.com/wiki/G-League_2014
Oct 11 - Dec 28 2014,The Legends Circuit,2014 TLC Winter Series,http://lol.esportspedia.com/wiki/2014_The_Legends_Circuit/Winter
Oct 3 - Dec 21 2014,NA,ESLA Pro 3L Season 1,http://lol.esportspedia.com/wiki/ESLA_Pro_Triple_L_Season_1/Regular_Season
Dec 7 - Dec 21 2014,NA,Logitech G Challenge 2014,http://lol.esportspedia.com/wiki/Logitech_G_Challenge_Argentina_2014
Dec 19 - Dec 21 2014,Intel Extreme Masters,IEM Season IX Cologne,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_Cologne
Nov 22 - Dec 21 2014,League of Legends Championship Series,EU LCS 2015 Spring Expan.,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Spring_Expansion
Dec 20 - Dec 21 2014,World GameMaster Tournament,WGT 2014,http://lol.esportspedia.com/wiki/World_GameMaster_Tournament_2014
Nov 9 - Dec 21 2014,Garena,Garena Semi-Pro League S1,http://lol.esportspedia.com/wiki/Garena_Semi-Pro_League/Season_1
Dec 3 - Dec 20 2014,LoL The Champions,Champions Spring Preseason,http://lol.esportspedia.com/wiki/Champions_Spring_2015/Preseason
Nov 24 - Dec 17 2014,Black Monster Cup,2014 BMC NA Winter,http://lol.esportspedia.com/wiki/2014_Black_Monster_Cup_North_America_Winter
Dec 7 - Dec 14 2014,NA,EGL International 2014,http://lol.esportspedia.com/wiki/Elite_Gamers_League_International_2014
Nov 15 - Dec 14 2014,League of Legends Championship Series,NA LCS 2015 Spring Expan.,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Spring_Expansion
Sep 30 - Dec 14 2014,ESL Pro Series,EPS Germany Winter 2014,http://lol.esportspedia.com/wiki/ESL_Pro_Series_Germany/Winter_2014
Dec 6 - Dec 14 2014,Riot Games Inc.,4 Nations Tournament 2014,http://lol.esportspedia.com/wiki/4_Nations_Tournament_2014
Jun 9 - Dec 13 2014,Demacia Cup,Demacia Cup Season 2,http://lol.esportspedia.com/wiki/Demacia_Cup/Season_2
Dec 6 - Dec 13 2014,Hong Kong E-Sports Challenge,HKESC Winter Week 4,http://lol.esportspedia.com/wiki/Hong_Kong_E-Sports_Challenge_Winter_Season/Week_4
Nov 15 - Dec 13 2014,League of Legends Japan League,2015 LJ League Challenger S1,http://lol.esportspedia.com/wiki/2015_League_of_Legends_Japan_League/Challenger_Tournament/Season_1
Nov 26 - Dec 12 2014,Intel Extreme Masters,IEM Taipei - TW/HK/MO Qualifier,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_Taipei/Qualifiers/Taiwan_Hong_Kong_Macau
Nov 12 - Dec 10 2014,Black Monster Cup,2014 BMC Europe Winter,http://lol.esportspedia.com/wiki/2014_Black_Monster_Cup_Europe_Winter
Oct 31 - Dec 9 2014,ESL Euro Series,ESL Euro Series Winter 2014,http://lol.esportspedia.com/wiki/ESL_Euro_Series/Winter_2014
Aug 25 - Dec 7 2014,Liga de Videojuegos Profesional,LVP Season 7,http://lol.esportspedia.com/wiki/Liga_de_Videojuegos_Profesional/Season_7
Dec 6 - Dec 7 2014,Intel Extreme Masters,IEM Season IX San Jose,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_San_Jose
Dec 6 - Dec 7 2014,International e-Culture Festival,IEF 2014,http://lol.esportspedia.com/wiki/International_e-Culture_Festival_2014
Dec 5 - Dec 7 2014,National Electronic Sports Open,NESO 2014,http://lol.esportspedia.com/wiki/2014_National_Electronic_Sports_Open
Dec 4 - Dec 5 2014,NA,Go4Gold Arena - Comic Con,http://lol.esportspedia.com/wiki/Go4Gold_Arena_2014_-_Comic_Con_Experience
Dec 4 - Dec 5 2014,GALAXY eSports Carnival,GEC 2014,http://lol.esportspedia.com/wiki/2014_GALAXY_eSports_Carnival
Oct 29 - Nov 30 2014,NA,Circuito Game7,http://lol.esportspedia.com/wiki/Circuito_Game7
Nov 28 - Nov 30 2014,Tencent Games Carnival,Tencent Carnival 2014,http://lol.esportspedia.com/wiki/Tencent_Games_Carnival_2014
Nov 27 - Nov 29 2014,DreamHack,DreamHack Winter 2014,http://lol.esportspedia.com/wiki/DreamHack_Winter_2014
Sep 20 - Nov 29 2014,ESL Pro Series,EPS Poland Season IX,http://lol.esportspedia.com/wiki/ESL_Pro_Series_Poland/Season_IX
Nov 22 - Nov 29 2014,Hong Kong E-Sports Challenge,HKESC Winter Week 3,http://lol.esportspedia.com/wiki/Hong_Kong_E-Sports_Challenge_Winter_Season/Week_3
Oct 31 - Nov 26 2014,NA,Razer Challenge Brasil S2,http://lol.esportspedia.com/wiki/Razer_Challenge_Brasil/Season_2
Nov 21 - Nov 23 2014,NA,Insomnia53 Winter,http://lol.esportspedia.com/wiki/Insomnia53_Winter_2014
Nov 8 - Nov 23 2014,Turkish Champions League,2015 TCL Winter Qual.,http://lol.esportspedia.com/wiki/2015_Turkish_Champions_League/Winter_Qualifiers
Nov 15 - Nov 23 2014,Tencent Games Arena,TGA Winter 2014,http://lol.esportspedia.com/wiki/Tencent_Games_Arena_Grand_Prix/Winter_2014
Nov 21 - Nov 23 2014,Tencent LoL Pro League,2015 LPL Spring Promotion,http://lol.esportspedia.com/wiki/2015_LPL_Spring/Promotion
Nov 22 2014,Copa Latin America,LAT Cup 2014 - Grand Final,http://lol.esportspedia.com/wiki/Riot_Latin_America_Cup_2014_-_Grand_Final
Nov 17 - Nov 22 2014,LoL The Champions,Champions Spring 2015 Qual.,http://lol.esportspedia.com/wiki/Champions_Spring_2015/Qualifiers
Nov 11 - Nov 19 2014,Intel Extreme Masters,IEM Cologne - Turkish Qualifier,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_Cologne/Qualifiers
Nov 14 - Nov 18 2014,NA,Challenger FaceOff 3,http://lol.esportspedia.com/wiki/Challenger_FaceOff_3
Nov 14 - Nov 16 2014,NA,MasGamers VII,http://lol.esportspedia.com/wiki/MasGamers_VII
Nov 15 - Nov 16 2014,Intel Extreme Masters,IEM San Jose - Brazilian Qual.,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_San_Jose/Qualifiers
Nov 8 - Nov 15 2014,Hong Kong E-Sports Challenge,HKESC Winter Week 2,http://lol.esportspedia.com/wiki/Hong_Kong_E-Sports_Challenge_Winter_Season/Week_2
Oct 10 - Nov 11 2014,Riot Games Inc.,Riot Polish Championship 2014,http://lol.esportspedia.com/wiki/Riot_Polish_Championship_2014
Oct 20 - Nov 12 2014,Garena,LoL Garuda Series S2 Qual.,http://lol.esportspedia.com/wiki/LoL_Garuda_Series/Season_2/Qualifiers
Nov 4 - Nov 10 2014,Intel Extreme Masters,IEM Cologne - CIS Qualifier,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_Cologne/Qualifiers
Nov 6 - Nov 9 2014,NA,Riot Russia Candidates 2014,http://lol.esportspedia.com/wiki/Riot_Russia_Candidates_Tournament_2014
Nov 5 - Nov 9 2014,Garena,City-state Tournament 2014,http://lol.esportspedia.com/wiki/City-state_Tournament_2014
Jul 14 - Nov 3 2014,Black Monster Cup,2014 BMC North America Fall,http://lol.esportspedia.com/wiki/2014_Black_Monster_Cup_North_America_Fall
May 8 - Nov 2 2014,NA,SCA Argentina 2014,http://lol.esportspedia.com/wiki/Argentine_Championship_Series_2014
Aug 21 - Nov 2 2014,SLTV StarSeries,SLTV StarSeries Season III,http://lol.esportspedia.com/wiki/SLTV_StarSeries/Season_III
Oct 30 - Nov 2 2014,ASUS ROG,Paris Games Week 2014,http://lol.esportspedia.com/wiki/Paris_Games_Week_2014
Oct 30 - Nov 2 2014,National Electronic Sports Tournament,NEST 2014,http://lol.esportspedia.com/wiki/National_Electronic_Sports_Tournament_2014
Oct 3 - Nov 2 2014,Oceanic Regional Tournament,2014 Oceanic Grand Finals,http://lol.esportspedia.com/wiki/2014_Oceanic_Regional_Tournament/Grand_Finals
Oct 25 - Nov 1 2014,Hong Kong E-Sports Challenge,HKESC Winter Week 1,http://lol.esportspedia.com/wiki/Hong_Kong_E-Sports_Challenge_Winter_Season/Week_1
Sep 27 - Oct 26 2014,Copa Latin America,CoL 2014 October,http://lol.esportspedia.com/wiki/Circuit_of_Legends_2014_October
Oct 24 - Oct 26 2014,NA,Cybersport League 2014,http://lol.esportspedia.com/wiki/Cybersport_League_2014
Oct 24 - Oct 26 2014,NA,MCM Invitational London 2014,http://lol.esportspedia.com/wiki/MCM_Invitational_London_2014
Oct 25 - Oct 26 2014,NVIDIA Game Festival,NGF 2014,http://lol.esportspedia.com/wiki/NVIDIA_Game_Festival_2014
Oct 25 - Oct 26 2014,Garena Premier League,2015 GPL Spring VN Qualifier,http://lol.esportspedia.com/wiki/2015_GPL_Spring/Vietnamese_Qualifier
Sep 18 - Oct 19 2014,2014 Season World Championship,2014 World Championship,http://lol.esportspedia.com/wiki/2014_Season_World_Championship
Oct 17 - Oct 19 2014,Garena,Thai Grand Champion. 2014,http://lol.esportspedia.com/wiki/Thailand_Grand_Championship_2014
Sep 3 - Oct 18 2014,Logitech CGPL,CGPL Season 2 Winter,http://lol.esportspedia.com/wiki/Logitech_CGPL_Season_2_Winter
Oct 6 - Oct 11 2014,Vietnam Championship Series,2015 VCS A Spring Qualifiers,http://lol.esportspedia.com/wiki/2015_Vietnam_Championship_Series_A_Spring/Qualifiers
Oct 4 2014,Copa Latin America,LAT Cup 2014 - Colombia,http://lol.esportspedia.com/wiki/Riot_Latin_America_Cup_2014_-_Colombia
Jun 2 - Sep 28 2014,ESL Pro Series,EPS NA Season 10,http://lol.esportspedia.com/wiki/National_ESL_Pro_Series/Season_X
Sep 25 - Sep 28 2014,NA,X5 Mega Arena 2,http://lol.esportspedia.com/wiki/X5_Mega_Arena_2
Sep 26 - Sep 28 2014,NA,ESLA Pro 3L S1 Qualifiers,http://lol.esportspedia.com/wiki/ESLA_Pro_Triple_L_Season_1/Qualifiers
Sep 13 - Sep 28 2014,NA,ASUS Expo 2014,http://lol.esportspedia.com/wiki/ASUS_Expo_2014
Aug 6 - Sep 27 2014,Brasil Gaming League,Brazil Gaming League 2014 S1,http://lol.esportspedia.com/wiki/Brazil_Gaming_League_2014/Season_I
Jun 14 - Sep 24 2014,Vietnam Championship Series,VCS A Summer 2014,http://lol.esportspedia.com/wiki/2014_Vietnam_Championship_Series_A_Summer
Sep 21 2014,League of Legends Japan League,2014 LJ League Finals,http://lol.esportspedia.com/wiki/2014_League_of_Legends_Japan_League/Grand_Finals
Jul 5 - Sep 21 2014,Garena,LoL Garuda Series S1,http://lol.esportspedia.com/wiki/LoL_Garuda_Series/Season_1
Jul 29 - Sep 18 2014,ESL Euro Series,ESL Euro Series Summer 2014,http://lol.esportspedia.com/wiki/ESL_Euro_Series/Summer_2014
Aug 3 - Sep 14 2014,Vietnam Championship Series,VCS B Summer 2014 Series 2,http://lol.esportspedia.com/wiki/2014_Vietnam_Championship_Series_B_Summer/Series_2
Jun 28 - Sep 13 2014,The Legends Circuit,2014 TLC Summer Series,http://lol.esportspedia.com/wiki/2014_The_Legends_Circuit/Summer/Grand_Finals
Jul 30 - Sep 12 2014,X Championship,X Championship S1,http://lol.esportspedia.com/wiki/X_Championship/Season_I
Sep 9 - Sep 11 2014,League of Legends Championship Series,NA LCS 2015 Spring Promo,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2015_Season/Spring_Promotion
Sep 8 - Sep 11 2014,Copa Latin America,LAT Cup - Colombia Super Week,http://lol.esportspedia.com/wiki/Riot_Latin_America_Cup_2014_-_Colombia
Sep 9 - Sep 11 2014,League of Legends Championship Series,EU LCS 2015 Spring Promo,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2015_Season/Spring_Promotion
Aug 18 - Sep 7 2014,Copa Latin America,LAT Cup - Colombia Qual.,http://lol.esportspedia.com/wiki/Circuit_of_Legends_2014_August
Jun 17 - Sep 7 2014,ESL Pro Series,EPS Germany Summer 2014,http://lol.esportspedia.com/wiki/ESL_Pro_Series_Germany/Summer_2014
Sep 6 - Sep 7 2014,Riot Games Inc.,2014 China Regional Finals,http://lol.esportspedia.com/wiki/2014_Season_China_Regional_Finals
Jul 14 - Sep 4 2014,Black Monster Cup,2014 BMC Europe Fall,http://lol.esportspedia.com/wiki/2014_Black_Monster_Cup_Europe_Fall
Aug 29 - Sep 1 2014,PAX,PAX 2014,http://lol.esportspedia.com/wiki/PAX_2014
Aug 23 - Sep 1 2014,League of Legends Championship Series,NA LCS 2014 Summer Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2014_Season/Summer_Playoffs
Jul 22 - Aug 31 2014,Hong Kong Esports Tournament,HK Esports Tournament S2,http://lol.esportspedia.com/wiki/Hong_Kong_Esports_Tournament/Season_2
Aug 27 - Aug 30 2014,Riot Games Inc.,2014 Korea Regional Finals,http://lol.esportspedia.com/wiki/2014_Season_Korea_Regional_Finals
Aug 4 - Aug 29 2014,National Electronic Sports Tournament,2014 NEST Qualifiers ,http://lol.esportspedia.com/wiki/National_Electronic_Sports_Tournament_2014/Qualifiers
Aug 21 - Aug 24 2014,NA Challenger Series,2014 NA CS Summer Playoffs,http://lol.esportspedia.com/wiki/2014_NA_Challenger_Series/Summer_Series/Playoffs
Aug 19 - Aug 24 2014,Riot Games Inc.,2014 TW & SEA Regional Finals,http://lol.esportspedia.com/wiki/2014_Season_Garena_Regional_Finals
Aug 22 - Aug 24 2014,Cyber Games Arena,Logitech G 2014 Grand Finals,http://lol.esportspedia.com/wiki/Logitech_G_Tournament_2014/Grand_Finals
Aug 19 - Aug 24 2014,Tencent LoL Pro League,2014 LPL Summer Playoffs,http://lol.esportspedia.com/wiki/2014_LPL_Summer/Playoffs
Jun 14 - Aug 20 2014,League of Legends Nova League,2014 LNL Summer,http://lol.esportspedia.com/wiki/2014_LNL_Summer
Aug 13 - Aug 17 2014,Gamescom,Gamescom 2014,http://lol.esportspedia.com/wiki/Gamescom_2014
Aug 7 - Aug 17 2014,League of Legends Championship Series,EU LCS 2014 Summer Playoffs,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2014_Season/Summer_Playoffs
Aug 1 - Aug 17 2014,Cyber Games Arena,CGA 2014 HK Tournament,http://lol.esportspedia.com/wiki/Cyber_Games_Arena_2014_Hong_Kong_Tournament
Jun 22 - Aug 17 2014,League of Legends Japan League,2014 LJ League Summer,http://lol.esportspedia.com/wiki/2014_League_of_Legends_Japan_League/Summer_Season
Jun 18 - Aug 16 2014,LoL The Champions,Champions Summer 2014,http://lol.esportspedia.com/wiki/HOT6iX_Champions_Summer_2014
Jun 21 - Aug 16 2014,Pro Gaming Series,2014 PGS Summer,http://lol.esportspedia.com/wiki/2014_PGS_Summer
Jun 11 - Aug 16 2014,Garena Premier League,2014 GPL Summer,http://lol.esportspedia.com/wiki/2014_GPL_Summer
Jun 14 - Aug 16 2014,Tencent LoL Pro League,2014 LPL Summer,http://lol.esportspedia.com/w/index.php?title=2014_LPL_Summer/Regular_Season&action=edit&redlink=1
Jun 10 - Aug 14 2014,LoL Secondary Pro League,2014 LSPL Summer,http://lol.esportspedia.com/wiki/2014_LoL_Secondary_Pro_League/Summer
Jun 10 - Aug 9 2014,NiceGameTV LoL Battle,ITENJOY NLB Summer 2014,http://lol.esportspedia.com/wiki/ITENJOY_NLB_Summer_2014
Aug 5 - Aug 8 2014,EU Challenger Series,2014 EU CS Summer Playoffs,http://lol.esportspedia.com/wiki/2014_EU_Challenger_Series/Summer_Series/Playoffs
May 23 - Aug 3 2014,League of Legends Championship Series,NA LCS 2014 Summer Season,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/North_America/2014_Season/Summer_Round_Robin
Aug 1 - Aug 3 2014,China Joy,China Joy 2014,http://lol.esportspedia.com/wiki/China_Joy_2014
Jun 28 - Aug 2 2014,NA Challenger Series,2014 NA Challenger Series #2,http://lol.esportspedia.com/wiki/2014_NA_Challenger_Series/Summer_Series/Series_2
May 20 - Jul 31 2014,League of Legends Championship Series,EU LCS 2014 Summer Season,http://lol.esportspedia.com/wiki/Riot_League_Championship_Series/Europe/2014_Season/Summer_Round_Robin
Jun 26 - Jul 30 2014,EU Challenger Series,2014 EU Challenger Series #2,http://lol.esportspedia.com/wiki/2014_EU_Challenger_Series/Summer_Series/Series_2
Jul 7 - Jul 28 2014,JCG Premier League,2014 JCG Premier League S3,http://lol.esportspedia.com/wiki/2014_JCG_Premier_League/Season_3
Jul 18 - Jul 27 2014,Cyber Games Arena,Logitech G 2014 Summer,http://lol.esportspedia.com/wiki/Logitech_G_Tournament_2014/Summer_Season
Jul 7 - Jul 27 2014,NA,FACEIT Challenger Invitational 3,http://lol.esportspedia.com/wiki/FACEIT_Challenger_Invitational_3
Jul 19 - Jul 26 2014,Circuit Brazilian League of Legends,2014 Brazil Regional Finals,http://lol.esportspedia.com/wiki/2014_Season_Brazil_Regional_Finals
May 26 - Jul 20 2014,Garena,2014 TPL Summer,http://lol.esportspedia.com/wiki/2014_Thailand_Pro_League/Summer
Jul 20 2014,Intel Extreme Masters,IEM Season IX Shenzhen,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_Shenzhen
Jul 18 - Jul 19 2014,DreamHack,DreamHack Valencia 2014,http://lol.esportspedia.com/wiki/DreamHack_Valencia_2014
Jun 30 - Jul 19 2014,Copa Latin America,LAT Cup 2014 - Argentina,http://lol.esportspedia.com/wiki/Riot_Latin_America_Cup_2014_-_Argentina
Jul 18 - Jul 19 2014,NA,Island of Legends 2014,http://lol.esportspedia.com/wiki/Island_of_Legends_2014
Jun 24 - Jul 16 2014,NA,Dailymotion Challenger Cup 1,http://lol.esportspedia.com/wiki/Dailymotion_Challenger_Cup
Jul 11 - Jul 12 2014,Intel Extreme Masters,IEM IX Shenzhen Qualifier,http://lol.esportspedia.com/wiki/IEM_Season_IX_-_Shenzhen
Jul 5 - Jul 12 2014,Turkish Champions League,2014 Turkish Championship,http://lol.esportspedia.com/wiki/Riot_2014_Season_Turkish_Championship
May 23 - Jul 6 2014,SLTV StarSeries,SLTV StarSeries Season X,http://lol.esportspedia.com/wiki/SLTV_StarSeries/Season_X
Jul 4 - Jul 6 2014,NA,Gamegune 2014,http://lol.esportspedia.com/wiki/Gamegune_2014
Jun 1 - Jul 6 2014,ESL Pro Series,EPS Poland Season VIII,http://lol.esportspedia.com/wiki/ESL_Pro_Series_Poland/Season_VIII
Jun 29 - Jun 30 2014,NA,Challenger FaceOff 2,http://lol.esportspedia.com/wiki/Challenger_FaceOff_2
Jun 9 - Jun 30 2014,Copa Latin America,LAT Cup - Argentina Quali.,http://lol.esportspedia.com/wiki/Circuit_of_Legends_2014_June
Jan 14 - Jun 29 2014,Liga de Videojuegos Profesional,LVP Season 6,http://lol.esportspedia.com/wiki/Liga_de_Videojuegos_Profesional/Season_6
Jun 28 - Jun 29 2014,Turkish Champions League,2014 Season Turkish Qual.,http://lol.esportspedia.com/wiki/Riot_2014_Season_Turkish_Championship/Qualifiers
Jun 23 - Jun 25 2014,SoloMid Series,SoloMid EU Invitational 7,http://lol.esportspedia.com/wiki/Solomid_EU_Tournament_Circuit/Invitational_7
May 17 - Jun 22 2014,NA Challenger Series,2014 NA Challenger Series #1,http://lol.esportspedia.com/wiki/2014_NA_Challenger_Series/Summer_Series
May 24 - Jun 22 2014,Riot Games Inc.,2014 Oceanic RT Winter,http://lol.esportspedia.com/wiki/2014_Oceanic_Regional_Tournament/Winter
Jun 21 - Jun 22 2014,Garena,GeForce Campus L. Spring,http://lol.esportspedia.com/wiki/2014_GeForce_e-Sports_Campus_League_Spring_Season
